EU rejects German call to boycott British lamb .	B-ORG O B-MISC O O O B-MISC O O
Played on Saturday :	O O O O
St Pauli 4 Schalke 4	B-ORG I-ORG O B-ORG O
Hansa Rostock 0 Hamburg 1	B-ORG I-ORG O B-ORG O
Bundesliga standings after Saturday 's games ( tabulate under	B-MISC O O O O O O O O
played , won , drawn , lost , goals for , goals against , points ) :	O O O O O O O O O O O O O O O O O
Cologne 3 3 0 0 7 1 9	B-ORG O O O O O O O
VfB Stuttgart 2 2 0 0 6 1 6	B-ORG I-ORG O O O O O O O
Borussia Dortmund 3 2 0 1 9 5 6	B-ORG I-ORG O O O O O O O
Hamburg 3 2 0 1 7 3 6	B-ORG O O O O O O O
Bayer Leverkusen 3 2 0 1 7 4 6	B-ORG I-ORG O O O O O O O
VfL Bochum 3 1 2 0 3 2 5	B-ORG I-ORG O O O O O O O
Karlsruhe 2 1 1 0 5 3 4	B-ORG O O O O O O O
Bayern Munich 2 1 1 0 3 2 4	B-ORG I-ORG O O O O O O O
St Pauli 3 1 1 1 7 7 4	B-ORG I-ORG O O O O O O O
1860 Munich 3 1 0 2 3 5 3	B-ORG I-ORG O O O O O O O
Freiburg 3 1 0 2 5 10 3	B-ORG O O O O O O O
Fortuna Duesseldorf 3 1 0 2 1 7 3	B-ORG I-ORG O O O O O O O
Hansa Rostock 3 0 2 1 3 4 2	B-ORG I-ORG O O O O O O O
Arminia Bielefeld 3 0 2 1 2 3 2	B-ORG I-ORG O O O O O O O
Borussia Moenchengladbach 3 0 2 1 1 3 2	B-ORG I-ORG O O O O O O O
Schalke 3 0 2 1 4 8 2	B-ORG O O O O O O O
Werder Bremen 3 0 1 2 4 6 1	B-ORG I-ORG O O O O O O O
MSV Duisburg 2 0 0 2 1 4 0	B-ORG I-ORG O O O O O O O
SOCCER - AUSTRIA FIRST DIVISION RESULTS / STANDINGS .	O O B-LOC O O O O O O
VIENNA 1996-08-24	B-LOC O
Results of Austria first division	O O B-LOC O O
soccer matches played on Saturday :	O O O O O O
Rapid Vienna 0 FC Linz 0	B-ORG I-ORG O B-ORG I-ORG O
GAK 2 Austria Vienna 2	B-ORG O B-ORG I-ORG O
Admira / Wacker 0 Sturm Graz 3	B-ORG I-ORG I-ORG O B-ORG I-ORG O
Linzer ASK 1 FC Tirol Innsbruck 3	B-ORG I-ORG O B-ORG I-ORG I-ORG O
Standings ( tabulated under played , won , drawn , lost , goals	O O O O O O O O O O O O O
for , against , points ) :	O O O O O O O
FC Tirol Innsbruck 6 4 2 0 13 5 14	B-ORG I-ORG I-ORG O O O O O O O
Austria Vienna 6 4 2 0 9 5 14	B-ORG I-ORG O O O O O O O
SV Salzburg 5 3 2 0 4 1 11	B-ORG I-ORG O O O O O O O
Sturm Graz 6 2 3 1 8 5 9	B-ORG I-ORG O O O O O O O
GAK 6 1 3 2 8 10 6	B-ORG O O O O O O O
Rapid Wien 5 0 5 0 3 3 5	B-ORG I-ORG O O O O O O O
SV Ried 5 1 1 3 6 5 4	B-ORG I-ORG O O O O O O O
Linzer ASK 5 0 3 2 4 8 3	B-ORG I-ORG O O O O O O O
Admira / Wacker 6 0 3 3 5 10 3	B-ORG I-ORG I-ORG O O O O O O O
FC Linz 6 0 2 4 1 9 2	B-ORG I-ORG O O O O O O O
CRICKET - RAIN BRINGS PREMATURE END TO SRI LANKA MATCH .	O O O O O O O B-LOC I-LOC O O
COLOMBO 1996-08-24	B-LOC O
The one-day match between Sri Lanka and a World XI was abandoned on Saturday because of rain .	O O O O B-LOC I-LOC O O B-ORG I-ORG O O O O O O O O
Scores : World XI 102-0 ( M. Waugh 39 not out , S. Tendulkar 56 not out ) off 21.4 overs v Sri Lanka .	O O B-ORG I-ORG O O B-PER I-PER O O O O B-PER I-PER O O O O O O O O B-LOC I-LOC O
British hostage in Chechnya describes ordeal .	B-MISC O O B-LOC O O O
LONDON 1996-08-24	B-LOC O
A British aid worker , held hostage in Chechnya for nearly four weeks , said on Saturday a cocked Kalashnikov had been thrust into his mouth at one point during his ordeal .	O B-MISC O O O O O O B-LOC O O O O O O O O O O B-MISC O O O O O O O O O O O O O
Michael Penrose , a 23-year-old worker with the group Action Against Hunger , described his ordeal to a news conference when he arrived back in Britain from Moscow .	B-PER I-PER O O O O O O O B-ORG I-ORG I-ORG O O O O O O O O O O O O O B-LOC O B-LOC O
" The worst period of physical manhandling was during that time when we were beaten with Kalashnikovs and at one point I had a Kalashnikov held to the back of my throat -- cocked , " he said .	O O O O O O O O O O O O O O O O B-MISC O O O O O O O B-MISC O O O O O O O O O O O O O O
" For the first period we were held in a small room with no bed or anything .	O O O O O O O O O O O O O O O O O O
We had very little food and sometimes went two or three days without eating . "	O O O O O O O O O O O O O O O O
Gunmen seized Penrose , who comes from Swerford in southern England , Frenchman Frederic Malardeau and six other hostages from their car in Grozny , the capital of Chechnya , on July 27 .	O O B-PER O O O O B-LOC O O B-LOC O B-MISC B-PER I-PER O O O O O O O O B-LOC O O O O B-LOC O O O O O
The assailants had demanded a ransom of 300,000 pounds ( $ 465,000 ) but no money was paid by the charity when they were released on Wednesday .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O
The hostages were held in a house in or near Grozny which was bombarded regularly .	O O O O O O O O O O B-LOC O O O O O
" During the last 15 days of being held , the fighting in Grozny was very close .	O O O O O O O O O O O O O B-LOC O O O O
At first it was street fighting outside the house and then we came under very heavy shelling and bombardment from conventional weapons like tanks , artillery and grenade launchers , " he said .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Penrose had been working for the charity which provides food to civilians for only a few weeks before he was captured .	B-PER O O O O O O O O O O O O O O O O O O O O O
When asked if he would return to the mountainous region where rebels have been fighting Russian troops for full independence , Penrose said : " Not for the time being .	O O O O O O O O O O O O O O O B-MISC O O O O O B-PER O O O O O O O O O
I do n't think it 's safe for me .	O O O O O O O O O O
But maybe in the future , depending on the circumstances . "	O O O O O O O O O O O O
Princess Diana send message to Mother Teresa .	O B-PER O O O B-PER I-PER O
LONDON 1996-08-24	B-LOC O
Britain 's Princess Diana has sent a message to seriously ill Mother Teresa , the nun to whom she has turned several times for spiritual guidance .	B-LOC O O B-PER O O O O O O O B-PER I-PER O O O O O O O O O O O O O O
Diana 's office said on Saturday the princess had sent a message to the Nobel Peace Prize-winning missionary as news broke this week of her battle against heart problems and malaria .	B-PER O O O O O O O O O O O O O B-MISC I-MISC I-MISC O O O O O O O O O O O O O O O
A spokeswoman declined to release details of the message .	O O O O O O O O O O
Diana first met the Albanian-born missionary in Rome in 1992 .	B-PER O O O B-MISC O O B-LOC O O O
She said afterwards that the meeting had fulfilled her " dearest wish " and the two women have met several times since .	O O O O O O O O O O O O O O O O O O O O O O O
The princess , who has carved out a major role for herself as a helper of the sick and needy , is said to have turned to Mother Teresa for guidance as her marriage crumbled to heir to the British throne Prince Charles .	O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PER I-PER O O O O O O O O O O B-MISC O B-PER I-PER O
The 85-year-old nun said in the past that she was praying for the couple , whose divorce is expected to become final next week .	O O O O O O O O O O O O O O O O O O O O O O O O O
Doctors caring for Mother Teresa in a Calcutta hospital said on Saturday that her fever had fallen and her malaria was under control but she remained on a respirator in intensive care .	O O O B-PER I-PER O O B-LOC O O O O O O O O O O O O O O O O O O O O O O O O O
CRICKET - PAKISTAN 339-4 V ENGLAND - close .	O O B-LOC O O B-LOC O O O
Saeed Anwar c Croft b Cork 176	B-PER I-PER O B-PER O B-PER O
Aamir Sohail c Cork b Croft 46	B-PER I-PER O B-PER O B-PER O
Ijaz Ahmed c Stewart b Mullally 61	B-PER I-PER O B-PER O B-PER O
Inzamam-ul-Haq c Hussain b Mullally 35	B-PER O B-PER O B-PER O
Salim Malik not out 2	B-PER I-PER O O O
Asif Mujtaba not out 1	B-PER I-PER O O O
Extras 18	O O
Fall of wicket - 1-106 2-239 3-334 4-334	O O O O O O O O
To bat - Wasim Akram , Moin Khan , Mushtaq Ahmed , Waqar Younis , Mohammad Akam	O O O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER
England 326 all out	B-LOC O O O
Soccer - Nijmeh beat Nasr 1-0 .	O O B-ORG O B-ORG O O
TRIPOLI , Lebanon 1996-08-24	B-LOC O B-LOC O
Nijmeh of Lebanon beat Nasr of Saudi Arabia 1-0 ( halftime 1-0 ) in their Asian club championship second round first leg tie on Saturday .	B-ORG O B-LOC O B-ORG O B-LOC I-LOC O O O O O O O B-MISC O O O O O O O O O O
Scorer : Issa Alloush ( 45th minute ) .	O O B-PER I-PER O O O O O
Attendance : 10,000 .	O O O O
Adventurers start Canadian wilderness race .	O O B-MISC O O O
PEMBERTON , British Columbia 1996-08-24	B-LOC O B-LOC I-LOC O
About 350 adventurers from nine countries set out on Saturday to climb , raft , bike and run in a 323-mile ( 517-km ) endurance race through the Canadian wilderness .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-MISC O O
The event , called the Eco-Challenge , is part of a growing sport known as adventure racing in which competitors test their limits for days over a perilous wilderness course .	O O O O O B-MISC O O O O O O O O O O O O O O O O O O O O O O O O O
" I 'm looking forward to this race .	O O O O O O O O O
I think it will be more physically challenging and we 'll have to go up against more diverse situations due to the terrain , " said Dr. Michael Stroud , a veteran Eco-Challenge participant .	O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PER I-PER O O O B-MISC O O
The Eco-Challenge has been staged twice before -- in Utah and Maine last year -- and is modelled on similar races overseas .	O B-MISC O O O O O O O B-LOC O B-LOC O O O O O O O O O O O
The 70 teams in this year 's race will will trek glaciers , climb mountains , whitewater raft , horseback ride , canoe and mountain bike along the grueling course .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
This year 's race , the route of which was keep a secret until Friday evening , is being held near Pemberton , British Columbia , about 100 miles ( 160 km ) northeast of Vancouver .	O O O O O O O O O O O O O O O O O O O O O B-LOC O B-LOC I-LOC O O O O O O O O O O B-LOC O
The area is filled with treacherous mountain peaks , ice fields and frigid waters .	O O O O O O O O O O O O O O O
Organisers expect about two-thirds of the participants to drop out or be disqualified before the finish .	O O O O O O O O O O O O O O O O O
The hardy ones are expected to complete the course in about six days , with first-place finishers receiving $ 10,000 in prize money .	O O O O O O O O O O O O O O O O O O O O O O O O
In the Eco-Challenge , competitors race in teams of five which must include both men and women .	O O B-MISC O O O O O O O O O O O O O O O
Team members must remain within 100 yards ( metres ) of each other at all times and finish together .	O O O O O O O O O O O O O O O O O O O O
With racers carrying about 40 pounds ( 18 kg ) of gear on their backs , broken bones , sunstroke , dehydration and exhaustion are common .	O O O O O O O O O O O O O O O O O O O O O O O O O O O
Cholera kills 21 in southern Nigeria .	O O O O O B-LOC O
LAGOS 1996-05-28	B-LOC O
An outbreak of cholera has killed 21 people in a week at Ubimini in oil-rich southern Nigeria , the News Agency of Nigeria reported on Saturday .	O O O O O O O O O O O O B-LOC O O O B-LOC O O B-ORG I-ORG I-ORG I-ORG O O O O
The chairman of the local council , Damian Ejiohuo , said drugs had been rushed to the area to quell the disease and the community needed a safer source of drinking water to prevent future outbreaks .	O O O O O O O B-PER I-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Epidemics are common in rural areas of Nigeria where piped water is not usually available .	O O O O O O O B-LOC O O O O O O O O
Malawi 's ex-president Banda says he 's feeling well .	B-LOC O O B-PER O O O O O O
BLANTYRE 1996-08-24	B-LOC O
Malawi 's frail former president , Kamuzu Banda , said on Saturday in a rare public interview that he was feeling well despite his advanced years .	B-LOC O O O O O B-PER I-PER O O O O O O O O O O O O O O O O O O O
" I feel all right and I eat everything that is put on the table .	O O O O O O O O O O O O O O O O
And that means I am all right , " he told reporters invited to his home .	O O O O O O O O O O O O O O O O O
Banda , a vegetarian teetotaller believed to be 97 , walked unaided but supporting himself on a walking stick .	B-PER O O O O O O O O O O O O O O O O O O O
He clutched a fly whisk which for a long time symbolised his obsession with power .	O O O O O O O O O O O O O O O O
His health was the subject of much recent speculation .	O O O O O O O O O O
Malawi 's undisputed ruler for three decades , he lost power in the first all-party elections in 1994 .	B-LOC O O O O O O O O O O O O O O O O O O
He spent a year under house arrest and was tried but acquitted last year on charges of ordering the murder of four opponents in 1983 .	O O O O O O O O O O O O O O O O O O O O O O O O O O
Zimbabwe fires striking civil servants .	B-LOC O O O O O
Emelia Sithole	B-PER I-PER
HARARE 1996-08-24	B-LOC O
The Zimbabwean government fired thousands of workers on Saturday for defying an order to end a strike which has crippled essential services and disrupted international and domestic flights .	O B-MISC O O O O O O O O O O O O O O O O O O O O O O O O O O O
The Public Service Commission ( PSC ) said in a statement that the workers -- including nurses , junior doctors , mortuary attendants , customs officers and firefighters -- would be barred from entering their workplaces on Monday .	O B-ORG I-ORG I-ORG O B-ORG O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
" All civil servants who did not return to work at their normal working hours , and remained working for the full working day on 23 August 1996 , have been summarily dismissed ...	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
with immediate effect , " it said in a statement .	O O O O O O O O O O O
Union officials from the Public Service Association ( PSA ) were unavailable for comment .	O O O O B-ORG I-ORG I-ORG O B-ORG O O O O O O
Public Service , Labour and Social Welfare Minister Florence Chitauro told state radio her ministry had already begun recruiting other people to replace the strikers , sub-contracting some of the work to private firms .	B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG O B-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O
The government had been threatening to fire the workers since the strike began on Tuesday , saying it was illegal .	O O O O O O O O O O O O O O O O O O O O O
But the strikers ignored the threat and vowed to stay on the streets until their demands for wage rises of 30 to 60 percent were met .	O O O O O O O O O O O O O O O O O O O O O O O O O O O
The stoppage has left essential services stretched with many hospitals handling only emergency cases under senior doctors with the help of army medical personnel and the Red Cross .	O O O O O O O O O O O O O O O O O O O O O O O O O O B-ORG I-ORG O
It has also disrupted flights .	O O O O O O
Some internal services were cancelled , leaving tourists at the Victoria Falls resort stranded , and flights abroad were delayed .	O O O O O O O O O O B-LOC I-LOC O O O O O O O O O
The PSA said 80 percent of the country 's 180,000 civil servants took part in the strike which is a rare challenge to President Robert Mugabe , who has been in power since independence from Britain in 1980 .	O B-ORG O O O O O O O O O O O O O O O O O O O O O O B-PER I-PER O O O O O O O O O B-LOC O O O
Opposition parties , civic organisations and private-sector unions have expressed support for the action and denounced the government 's pay rises of up to eight percent for its workers .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Civil servants earn on average Z$ 1,000 ( $ 100 ) a month .	O O O O O B-MISC O O O O O O O O
They say their pay has not kept up at all with inflation , currently running at 22 percent .	O O O O O O O O O O O O O O O O O O O
Rwanda says Zaire expels 28 Rwandan refugees .	B-LOC O B-LOC O O B-MISC O O
KIGALI 1996-08-24	B-LOC O
Rwanda said on Saturday that Zaire had expelled 28 Rwandan Hutu refugees accused of being " trouble-makers " in camps in eastern Zaire .	B-LOC O O O O B-LOC O O O B-MISC B-MISC O O O O O O O O O O O B-LOC O
Captain Firmin Gatera , spokesman for the Tutsi-dominated Rwandan army , told Reuters in Kigali that 17 of the 28 refugees handed over on Friday from the Zairean town of Goma had been soldiers in the former Hutu army which fled to Zaire in 1994 after being defeated by Tutsi forces in Rwanda 's civil war .	O B-PER I-PER O O O O B-MISC B-MISC O O O B-ORG O B-LOC O O O O O O O O O O O O B-MISC O O B-LOC O O O O O O B-MISC O O O O B-LOC O O O O O O B-MISC O O B-LOC O O O O
Zairean Prime Minister Kengo wa Dondo said on Thursday in a visit to Rwanda that his country would expell all the refugees back to Rwanda but he gave no timeframe .	B-MISC O O B-PER I-PER I-PER O O O O O O O B-LOC O O O O O O O O O O B-LOC O O O O O O
Zaire is home to 1.1 million Rwandan Hutu refugees who fled three months of civil war in 1994 .	B-LOC O O O O O B-MISC B-MISC O O O O O O O O O O O
Many had taken part in the genocide that year of one million people , mostly Tutsis , and refuse to go home for fear of reprisal at the hands of the new Tutsi-dominated government in Kigali .	O O O O O O O O O O O O O O O B-MISC O O O O O O O O O O O O O O O O B-MISC O O B-LOC O
Gatera said the refugees were handed over following a deal made at a meeting between the governor of Zaire 's north Kivu region and his counterpart in the Rwandan border town of Gisenyi .	B-PER O O O O O O O O O O O O O O O O O B-LOC O O B-LOC O O O O O O B-MISC O O O B-LOC O
" After a meeting between the governor of north Kivu and the prefect of Gisenyi , 28 prisoners ( refugees ) were handed over to Rwandan authorities on Friday , " Gatera said . "	O O O O O O O O O B-LOC O O O O B-LOC O O O O O O O O O O B-MISC O O O O O B-PER O O O
Out of these 17 were former soldiers .	O O O O O O O O
These people are now in Gisenyi prison , " Gatera added .	O O O O O B-LOC O O O B-PER O O
Revered skull of S. Africa king is Scottish woman 's .	O O O B-LOC I-LOC O O B-MISC O O O
JOHANNESBURG 1996-08-24	B-LOC O
A limelight-loving South African chief was in disgrace on Saturday after a prized skull he brought home from Scotland was identified as belonging not to his sacred tribal ancestor , but to a middle-aged white woman .	O O B-MISC I-MISC O O O O O O O O O O O O O O B-LOC O O O O O O O O O O O O O O O O O O
A forensic scientist who examined the supposed skull of 19th century King Hintsa , a chief of President Nelson Mandela 's Xhosa tribe killed in battle by the British , said it was in fact the cranium of a European woman .	O O O O O O O O O O O O B-PER O O O O O B-PER I-PER O B-MISC O O O O O O B-MISC O O O O O O O O O O B-MISC O O
Chief Nicholas Gcaleka , dressed in animal skins and full tribal regalia , journeyed to a wintry Scotland in February on a hugely publicised quest to find Hintsa 's skull .	O B-PER I-PER O O O O O O O O O O O O O O B-LOC O O O O O O O O O B-PER O O O
The witchdoctor said ancestors had appeared to him in a dream and ordered him to return the head , said to have been carried off as a colonial trophy by the officer who shot and allegedly beheaded Hintsa after a battle in 1835 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PER O O O O O O
But Gcaleka ran into trouble as soon as he returned to South Africa with a skull he found in a cottage in a lonely Highland forest near Inverness .	O B-PER O O O O O O O O O B-LOC I-LOC O O O O O O O O O O O B-LOC O O B-LOC O
He said the spirit of a hurricane had guided him there .	O O O O O O O O O O O O
Members of the Xhosa royal family , branding Gcaleka a charlatan , confiscated the head and sent it for tests to a forensic scientist , who examined the shape of the skull and the hole that he determined had not come , as supposed , from a bullet .	O O O B-MISC O O O O B-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
" It can be stated beyond reasonable doubt that this skull is not that of the late king , " the scientist said in a statement .	O O O O O O O O O O O O O O O O O O O O O O O O O O O
Sudan arrests opposition sewing machine smugglers .	B-LOC O O O O O O
KHARTOUM 1996-08-24	B-LOC O
Sudanese police have arrested three people trying to smuggle sewing machines and army clothing to Sudanese opposition groups in Eritrea , an official newspaper reported on Saturday .	B-MISC O O O O O O O O O O O O O O B-MISC O O O B-LOC O O O O O O O O
The government-owned al-Ingaz al-Watani said the smugglers were caught in Banat in the eastern state of Kassala , on the border with Eritrea , and had confessed they were on their way to " the so-called alliance forces which have been undertaking subversive operations on the eastern border " .	O O B-ORG I-ORG O O O O O O B-LOC O O O O O B-LOC O O O O O B-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O
Authorities in Kassala said opposition forces based in Eritrea have been laying landmines and stealing vehicles and other goods to smuggle them across the border into Eritrea .	O O B-LOC O O O O O B-LOC O O O O O O O O O O O O O O O O O B-LOC O
Sudan accuses the Eritrean authorities of providing support to Sudanese opposition elements based in Eritrea .	B-LOC O O B-MISC O O O O O B-MISC O O O O B-LOC O
Eritrea cut diplomatic ties with Sudan in 1994 , accusing it of training rebels to make raids into Eritrea .	B-LOC O O O O B-LOC O O O O O O O O O O O O B-LOC O
The exiled National Democratic Alliance , a Sudanese umbrella opposition group , has its headquarters in the Eritrean capital Asmara .	O O B-ORG I-ORG I-ORG O O B-MISC O O O O O O O O O B-MISC O B-LOC O
It uses the former Sudanese embassy .	O O O O B-MISC O O
Albanian Socialists start landmark reform congress .	B-MISC O O O O O O
TIRANA 1996-08-24	B-LOC O
Albania 's opposition Socialist Party began a two-day congress on Saturday to discuss major jettisoning its links with almost half a century of Stalinist dictatorship in the Balkan country .	B-LOC O O B-ORG I-ORG O O O O O O O O O O O O O O O O O O B-MISC O O O B-LOC O O
" The congress will approve new concepts that will turn the party into a Social-Democratic and electoral party , not a class and ideological one , " the Socialist Zeri i Popullit daily said in an editorial .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-ORG I-ORG I-ORG O O O O O O
Jailed Socialist leader Fatos Nano made the first call for change in July , a month after the party 's chief opponents , the conservative Democrats of President Sali Berisha , almost swept the board in a disputed general election .	O O O B-PER I-PER O O O O O O O O O O O O O O O O O O O O B-MISC O O B-PER I-PER O O O O O O O O O O O
The Socialists , reformed heirs to the communists , pulled out of the poll saying it was a sham .	O O O O O O O O O O O O O O O O O O O O
Acting Socialist leader Servet Pellumbi has said he too will urge the party to scrap the ideas of Karl Marx at the congress .	O O O B-PER I-PER O O O O O O O O O O O O O B-PER I-PER O O O O
The pro-reform stance of some of the party leadership initially caused a storm and triggered the resignation last month of the party 's Secretary-General Gramoz Ruci .	O O O O O O O O O O O O O O O O O O O O O O O O B-PER I-PER O
More recently political commentators have reported a growing consensus , however , and a rift at the meeting looks increasingly unlikely .	O O O O O O O O O O O O O O O O O O O O O O
Nicaraguan president to go to U.S. for medical care .	B-MISC O O O O B-LOC O O O O
MANAGUA , Nicaragua 1996-08-23	B-LOC O B-LOC O
Nicaraguan President Violeta Chamorro was due to fly to the United States on Saturday for a medical check-up to determine if surgery was needed on the lower part of her spinal column , the government said on Friday .	B-MISC O B-PER I-PER O O O O O O B-LOC I-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O
